gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
2626551862	Sound	audio/vnd.wave	https://static.inaturalist.org/sounds/93240.wav?1590087454	https://www.inaturalist.org/photos/93240					2020-05-21T18:57:34Z	A Emmerson		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	A Emmerson
2626477443	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/74150487/original.jpeg	https://www.inaturalist.org/photos/74150487					2020-04-26T15:39:24Z	A Emmerson		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	A Emmerson
2626477443	Sound	audio/vnd.wave	https://static.inaturalist.org/sounds/93248.wav?1590087661	https://www.inaturalist.org/photos/93248					2020-05-21T19:01:01Z	A Emmerson		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	A Emmerson
2626459517	Sound	audio/mp4	https://static.inaturalist.org/sounds/85048.m4a?1588945643	https://www.inaturalist.org/photos/85048					2020-05-08T13:47:23Z	Paola Perez		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Paola Perez
2626240454	Sound	audio/vnd.wave	https://static.inaturalist.org/sounds/93216.wav?1590087000	https://www.inaturalist.org/photos/93216					2020-05-21T18:50:00Z	A Emmerson		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	A Emmerson
2626144230	Sound	audio/mp4	https://static.inaturalist.org/sounds/85045.m4a?1588944894	https://www.inaturalist.org/photos/85045					2020-05-08T13:34:54Z	Paola Perez		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Paola Perez
2626144230	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/71764291/original.jpeg	https://www.inaturalist.org/photos/71764291					2020-05-08T19:05:43Z	Paola Perez		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Paola Perez
2620194231	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/71498261/original.jpeg	https://www.inaturalist.org/photos/71498261					2020-05-06T21:50:01Z	Susan Marley		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Susan Marley
2620194231	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/71498152/original.jpeg	https://www.inaturalist.org/photos/71498152					2020-05-06T21:49:46Z	Susan Marley		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Susan Marley
2620194231	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/71498211/original.jpeg	https://www.inaturalist.org/photos/71498211					2020-05-06T21:49:51Z	Susan Marley		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Susan Marley
2620194231	Sound	audio/mp4	https://static.inaturalist.org/sounds/84282.m4a?1588793094	https://www.inaturalist.org/photos/84282					2020-05-06T19:24:54Z	Susan Marley		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Susan Marley
2619954149	Sound	audio/vnd.wave	https://static.inaturalist.org/sounds/84729.wav?1588879069	https://www.inaturalist.org/photos/84729					2020-05-07T19:17:49Z	A Emmerson		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	A Emmerson
2619952746	Sound	audio/vnd.wave	https://static.inaturalist.org/sounds/83572.wav?1588668883	https://www.inaturalist.org/photos/83572					2020-05-05T08:54:43Z	wheretherosestwine		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	wheretherosestwine
2619887794	Sound	audio/vnd.wave	https://static.inaturalist.org/sounds/80963.wav?1588347222	https://www.inaturalist.org/photos/80963					2020-05-01T15:33:42Z	Stuart Fraser		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Stuart Fraser
2611240704	Sound	audio/mp4	https://static.inaturalist.org/sounds/76299.m4a?1587908240	https://www.inaturalist.org/photos/76299					2020-04-26T13:37:20Z	yellowrattle		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	yellowrattle
2611133204	Sound	audio/mpeg	https://static.inaturalist.org/sounds/79531.mp3?1588175169	https://www.inaturalist.org/photos/79531					2020-04-29T15:46:09Z	Andrew Thomas		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Andrew Thomas
2611107454	Sound	audio/vnd.wave	https://static.inaturalist.org/sounds/71357.wav?1587226092	https://www.inaturalist.org/photos/71357					2020-04-18T16:08:12Z	Simon Rolph		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Simon Rolph
2610983912	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/68485861/original.jpeg	https://www.inaturalist.org/photos/68485861					2020-04-08T19:24:30Z	A Emmerson		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	A Emmerson
2610983912	Sound	audio/vnd.wave	https://static.inaturalist.org/sounds/74209.wav?1587754481	https://www.inaturalist.org/photos/74209					2020-04-24T18:54:41Z	A Emmerson		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	A Emmerson
2610965220	Sound	audio/mp4	https://static.inaturalist.org/sounds/74379.m4a?1587766228	https://www.inaturalist.org/photos/74379					2020-04-24T22:10:28Z	Susan Marley		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Susan Marley
2610932960	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/69275286/original.jpg	https://www.inaturalist.org/photos/69275286					2020-04-25T14:07:02Z	Mary Kinver		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Mary Kinver
2610932960	Sound	audio/mp4	https://static.inaturalist.org/sounds/75096.m4a?1587827293	https://www.inaturalist.org/photos/75096					2020-04-25T15:08:13Z	Mary Kinver		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Mary Kinver
2609676536	Sound	audio/mpeg	https://xeno-canto.org/sounds/uploaded/BTOFEKXFGW/XC513222-MIXPRE-359.mp3			83 s				david m			http://creativecommons.org/licenses/by-nc-nd/4.0/	david m
2609676536	StillImage	image/png	https://xeno-canto.org/sounds/uploaded/BTOFEKXFGW/ffts/XC513222-large.png			Spectrogram of the first ten seconds of the sound recording				Stichting Xeno-canto voor Natuurgeluiden			http://creativecommons.org/licenses/by-nc-nd/4.0/	Stichting Xeno-canto voor Natuurgeluiden
2609676536	StillImage	image/png	https://xeno-canto.org/sounds/uploaded/BTOFEKXFGW/wave/XC513222-large.png			Oscillogram of the first ten seconds of the sound recording				Stichting Xeno-canto voor Natuurgeluiden			http://creativecommons.org/licenses/by-nc-nd/4.0/	Stichting Xeno-canto voor Natuurgeluiden
2609675247	StillImage	image/png	https://xeno-canto.org/sounds/uploaded/BTOFEKXFGW/wave/XC514114-large.png			Oscillogram of the first ten seconds of the sound recording				Stichting Xeno-canto voor Natuurgeluiden			http://creativecommons.org/licenses/by-nc-nd/4.0/	Stichting Xeno-canto voor Natuurgeluiden
2609675247	Sound	audio/mpeg	https://xeno-canto.org/sounds/uploaded/BTOFEKXFGW/XC514114-MIXPRE-675.mp3			18 s				david m			http://creativecommons.org/licenses/by-nc-nd/4.0/	david m
2609675247	StillImage	image/png	https://xeno-canto.org/sounds/uploaded/BTOFEKXFGW/ffts/XC514114-large.png			Spectrogram of the first ten seconds of the sound recording				Stichting Xeno-canto voor Natuurgeluiden			http://creativecommons.org/licenses/by-nc-nd/4.0/	Stichting Xeno-canto voor Natuurgeluiden
2609674446	Sound	audio/mpeg	https://xeno-canto.org/sounds/uploaded/BTOFEKXFGW/XC513363-MIXPRE-518.mp3			16 s				david m			http://creativecommons.org/licenses/by-nc-nd/4.0/	david m
2609674446	StillImage	image/png	https://xeno-canto.org/sounds/uploaded/BTOFEKXFGW/wave/XC513363-large.png			Oscillogram of the first ten seconds of the sound recording				Stichting Xeno-canto voor Natuurgeluiden			http://creativecommons.org/licenses/by-nc-nd/4.0/	Stichting Xeno-canto voor Natuurgeluiden
2609674446	StillImage	image/png	https://xeno-canto.org/sounds/uploaded/BTOFEKXFGW/ffts/XC513363-large.png			Spectrogram of the first ten seconds of the sound recording				Stichting Xeno-canto voor Natuurgeluiden			http://creativecommons.org/licenses/by-nc-nd/4.0/	Stichting Xeno-canto voor Natuurgeluiden
2609674303	StillImage	image/png	https://xeno-canto.org/sounds/uploaded/BTOFEKXFGW/wave/XC513364-large.png			Oscillogram of the first ten seconds of the sound recording				Stichting Xeno-canto voor Natuurgeluiden			http://creativecommons.org/licenses/by-nc-nd/4.0/	Stichting Xeno-canto voor Natuurgeluiden
2609674303	StillImage	image/png	https://xeno-canto.org/sounds/uploaded/BTOFEKXFGW/ffts/XC513364-large.png			Spectrogram of the first ten seconds of the sound recording				Stichting Xeno-canto voor Natuurgeluiden			http://creativecommons.org/licenses/by-nc-nd/4.0/	Stichting Xeno-canto voor Natuurgeluiden
2609674303	Sound	audio/mpeg	https://xeno-canto.org/sounds/uploaded/BTOFEKXFGW/XC513364-MIXPRE-521.mp3			46 s				david m			http://creativecommons.org/licenses/by-nc-nd/4.0/	david m
2609673759	StillImage	image/png	https://xeno-canto.org/sounds/uploaded/BTOFEKXFGW/wave/XC514737-large.png			Oscillogram of the first ten seconds of the sound recording				Stichting Xeno-canto voor Natuurgeluiden			http://creativecommons.org/licenses/by-nc-nd/4.0/	Stichting Xeno-canto voor Natuurgeluiden
2609673759	StillImage	image/png	https://xeno-canto.org/sounds/uploaded/BTOFEKXFGW/ffts/XC514737-large.png			Spectrogram of the first ten seconds of the sound recording				Stichting Xeno-canto voor Natuurgeluiden			http://creativecommons.org/licenses/by-nc-nd/4.0/	Stichting Xeno-canto voor Natuurgeluiden
2609673759	Sound	audio/mpeg	https://xeno-canto.org/sounds/uploaded/BTOFEKXFGW/XC514737-MIXPRE-688.mp3			31 s				david m			http://creativecommons.org/licenses/by-nc-nd/4.0/	david m
2609673214	Sound	audio/mpeg	https://xeno-canto.org/sounds/uploaded/BTOFEKXFGW/XC511364-MIXPRE-351.mp3			18 s				david m			http://creativecommons.org/licenses/by-nc-nd/4.0/	david m
2609673214	StillImage	image/png	https://xeno-canto.org/sounds/uploaded/BTOFEKXFGW/ffts/XC511364-large.png			Spectrogram of the first ten seconds of the sound recording				Stichting Xeno-canto voor Natuurgeluiden			http://creativecommons.org/licenses/by-nc-nd/4.0/	Stichting Xeno-canto voor Natuurgeluiden
2609673214	StillImage	image/png	https://xeno-canto.org/sounds/uploaded/BTOFEKXFGW/wave/XC511364-large.png			Oscillogram of the first ten seconds of the sound recording				Stichting Xeno-canto voor Natuurgeluiden			http://creativecommons.org/licenses/by-nc-nd/4.0/	Stichting Xeno-canto voor Natuurgeluiden
2609672947	StillImage	image/png	https://xeno-canto.org/sounds/uploaded/BTOFEKXFGW/wave/XC511356-large.png			Oscillogram of the first ten seconds of the sound recording				Stichting Xeno-canto voor Natuurgeluiden			http://creativecommons.org/licenses/by-nc-nd/4.0/	Stichting Xeno-canto voor Natuurgeluiden
2609672947	StillImage	image/png	https://xeno-canto.org/sounds/uploaded/BTOFEKXFGW/ffts/XC511356-large.png			Spectrogram of the first ten seconds of the sound recording				Stichting Xeno-canto voor Natuurgeluiden			http://creativecommons.org/licenses/by-nc-nd/4.0/	Stichting Xeno-canto voor Natuurgeluiden
2609672947	Sound	audio/mpeg	https://xeno-canto.org/sounds/uploaded/BTOFEKXFGW/XC511356-MIXPRE-346.mp3			37 s				david m			http://creativecommons.org/licenses/by-nc-nd/4.0/	david m
2609672756	Sound	audio/mpeg	https://xeno-canto.org/sounds/uploaded/BTOFEKXFGW/XC511741-MIXPRE-302.mp3			68 s				david m			http://creativecommons.org/licenses/by-nc-nd/4.0/	david m
2609672756	StillImage	image/png	https://xeno-canto.org/sounds/uploaded/BTOFEKXFGW/wave/XC511741-large.png			Oscillogram of the first ten seconds of the sound recording				Stichting Xeno-canto voor Natuurgeluiden			http://creativecommons.org/licenses/by-nc-nd/4.0/	Stichting Xeno-canto voor Natuurgeluiden
2609672756	StillImage	image/png	https://xeno-canto.org/sounds/uploaded/BTOFEKXFGW/ffts/XC511741-large.png			Spectrogram of the first ten seconds of the sound recording				Stichting Xeno-canto voor Natuurgeluiden			http://creativecommons.org/licenses/by-nc-nd/4.0/	Stichting Xeno-canto voor Natuurgeluiden
2609672502	StillImage	image/png	https://xeno-canto.org/sounds/uploaded/BTOFEKXFGW/wave/XC511594-large.png			Oscillogram of the first ten seconds of the sound recording				Stichting Xeno-canto voor Natuurgeluiden			http://creativecommons.org/licenses/by-nc-nd/4.0/	Stichting Xeno-canto voor Natuurgeluiden
2609672502	StillImage	image/png	https://xeno-canto.org/sounds/uploaded/BTOFEKXFGW/ffts/XC511594-large.png			Spectrogram of the first ten seconds of the sound recording				Stichting Xeno-canto voor Natuurgeluiden			http://creativecommons.org/licenses/by-nc-nd/4.0/	Stichting Xeno-canto voor Natuurgeluiden
2609672502	Sound	audio/mpeg	https://xeno-canto.org/sounds/uploaded/BTOFEKXFGW/XC511594-MIXPRE-367.mp3			25 s				david m			http://creativecommons.org/licenses/by-nc-nd/4.0/	david m
2609672374	StillImage	image/png	https://xeno-canto.org/sounds/uploaded/BTOFEKXFGW/wave/XC511367-large.png			Oscillogram of the first ten seconds of the sound recording				Stichting Xeno-canto voor Natuurgeluiden			http://creativecommons.org/licenses/by-nc-nd/4.0/	Stichting Xeno-canto voor Natuurgeluiden
2609672374	StillImage	image/png	https://xeno-canto.org/sounds/uploaded/BTOFEKXFGW/ffts/XC511367-large.png			Spectrogram of the first ten seconds of the sound recording				Stichting Xeno-canto voor Natuurgeluiden			http://creativecommons.org/licenses/by-nc-nd/4.0/	Stichting Xeno-canto voor Natuurgeluiden
