gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
3464447446	StillImage	image/png	https://xeno-canto.org/sounds/uploaded/EYCQCHTSPT/ffts/XC699221-large.png			Spectrogram of the first ten seconds of the sound recording				Stichting Xeno-canto voor Natuurgeluiden			http://creativecommons.org/licenses/by-nc-sa/4.0/	Stichting Xeno-canto voor Natuurgeluiden
3464447446	StillImage	image/png	https://xeno-canto.org/sounds/uploaded/EYCQCHTSPT/wave/XC699221-large.png			Oscillogram of the first ten seconds of the sound recording				Stichting Xeno-canto voor Natuurgeluiden			http://creativecommons.org/licenses/by-nc-sa/4.0/	Stichting Xeno-canto voor Natuurgeluiden
3464447446	Sound	audio/mpeg	https://xeno-canto.org/sounds/uploaded/EYCQCHTSPT/XC699221-rinkel%20tjif.mp3			31 s				Lisette			http://creativecommons.org/licenses/by-nc-sa/4.0/	Lisette
3464435451	StillImage	image/png	https://xeno-canto.org/sounds/uploaded/LACGOEKMVI/ffts/XC699409-large.png			Spectrogram of the first ten seconds of the sound recording				Stichting Xeno-canto voor Natuurgeluiden			http://creativecommons.org/licenses/by-nc-sa/4.0/	Stichting Xeno-canto voor Natuurgeluiden
3464435451	Sound	audio/mpeg	https://xeno-canto.org/sounds/uploaded/LACGOEKMVI/XC699409-d%29Pouvel%28petits%20cris%29.mp3			27 s				Dominique Guillerme			http://creativecommons.org/licenses/by-nc-sa/4.0/	Dominique Guillerme
3464435451	StillImage	image/png	https://xeno-canto.org/sounds/uploaded/LACGOEKMVI/wave/XC699409-large.png			Oscillogram of the first ten seconds of the sound recording				Stichting Xeno-canto voor Natuurgeluiden			http://creativecommons.org/licenses/by-nc-sa/4.0/	Stichting Xeno-canto voor Natuurgeluiden
3464428446	Sound	audio/mpeg	https://xeno-canto.org/sounds/uploaded/LACGOEKMVI/XC699408-d%2900_PV%20%28petits%20cris%29.mp3			20 s				Dominique Guillerme			http://creativecommons.org/licenses/by-nc-sa/4.0/	Dominique Guillerme
3464428446	StillImage	image/png	https://xeno-canto.org/sounds/uploaded/LACGOEKMVI/wave/XC699408-large.png			Oscillogram of the first ten seconds of the sound recording				Stichting Xeno-canto voor Natuurgeluiden			http://creativecommons.org/licenses/by-nc-sa/4.0/	Stichting Xeno-canto voor Natuurgeluiden
3464428446	StillImage	image/png	https://xeno-canto.org/sounds/uploaded/LACGOEKMVI/ffts/XC699408-large.png			Spectrogram of the first ten seconds of the sound recording				Stichting Xeno-canto voor Natuurgeluiden			http://creativecommons.org/licenses/by-nc-sa/4.0/	Stichting Xeno-canto voor Natuurgeluiden
3456233268	Sound	audio/mp4	https://static.inaturalist.org/sounds/209080.m4a?1620077550	https://www.inaturalist.org/photos/209080					2021-05-03T21:32:30Z	Jacques Leonardi		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Jacques Leonardi
3436665647	StillImage	image/png	https://xeno-canto.org/sounds/uploaded/SDPCHKOHRH/wave/XC692359-large.png			Oscillogram of the first ten seconds of the sound recording				Stichting Xeno-canto voor Natuurgeluiden			http://creativecommons.org/licenses/by-nc-sa/4.0/	Stichting Xeno-canto voor Natuurgeluiden
3436665647	Sound	audio/mpeg	https://xeno-canto.org/sounds/uploaded/SDPCHKOHRH/XC692359-Pouillot%20de%20siberie%20flutterings%20claquants%20%2B.mp3			39 s				Stanislas Wroza			http://creativecommons.org/licenses/by-nc-sa/4.0/	Stanislas Wroza
3436665647	StillImage	image/png	https://xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC692359-large.png			Spectrogram of the first ten seconds of the sound recording				Stichting Xeno-canto voor Natuurgeluiden			http://creativecommons.org/licenses/by-nc-sa/4.0/	Stichting Xeno-canto voor Natuurgeluiden
3436664639	Sound	audio/mpeg	https://xeno-canto.org/sounds/uploaded/PDUXTHLYOH/XC692418-tristis.mp3			17 s				Léandre COMBE			http://creativecommons.org/licenses/by-nc-sa/4.0/	Léandre COMBE
3436664639	StillImage	image/png	https://xeno-canto.org/sounds/uploaded/PDUXTHLYOH/wave/XC692418-large.png			Oscillogram of the first ten seconds of the sound recording				Stichting Xeno-canto voor Natuurgeluiden			http://creativecommons.org/licenses/by-nc-sa/4.0/	Stichting Xeno-canto voor Natuurgeluiden
3436664639	StillImage	image/png	https://xeno-canto.org/sounds/uploaded/PDUXTHLYOH/ffts/XC692418-large.png			Spectrogram of the first ten seconds of the sound recording				Stichting Xeno-canto voor Natuurgeluiden			http://creativecommons.org/licenses/by-nc-sa/4.0/	Stichting Xeno-canto voor Natuurgeluiden
3436664636	StillImage	image/png	https://xeno-canto.org/sounds/uploaded/SDPCHKOHRH/wave/XC692355-large.png			Oscillogram of the first ten seconds of the sound recording				Stichting Xeno-canto voor Natuurgeluiden			http://creativecommons.org/licenses/by-nc-sa/4.0/	Stichting Xeno-canto voor Natuurgeluiden
3436664636	StillImage	image/png	https://xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC692355-large.png			Spectrogram of the first ten seconds of the sound recording				Stichting Xeno-canto voor Natuurgeluiden			http://creativecommons.org/licenses/by-nc-sa/4.0/	Stichting Xeno-canto voor Natuurgeluiden
3436664636	Sound	audio/mpeg	https://xeno-canto.org/sounds/uploaded/SDPCHKOHRH/XC692355-Pouillot%20de%20Siberie%20cris%20de%20fluttering%20%2B.mp3			12 s				Stanislas Wroza			http://creativecommons.org/licenses/by-nc-sa/4.0/	Stanislas Wroza
3436662639	StillImage	image/png	https://xeno-canto.org/sounds/uploaded/SDPCHKOHRH/wave/XC692365-large.png			Oscillogram of the first ten seconds of the sound recording				Stichting Xeno-canto voor Natuurgeluiden			http://creativecommons.org/licenses/by-nc-sa/4.0/	Stichting Xeno-canto voor Natuurgeluiden
